Carnobacterium mobile DSM 4848
Rhabdonatronobacter sediminivivens
Paracholeplasma morum
Roseateles toxinivorans
Pycnomerus fuliginosus
Desulfuromonas soudanensis
Mimosa bimucronata
Kosakonia oryziphila
Amycolatopsis halotolerans
Semaprochilodus insignis
Paenibacillus sophorae
Sphingomonas turrisvirgatae
Alkalibacterium iburiense
Granulosicoccus antarcticus IMCC3135
Methylovorus mays
Cyprinodon brontotheroides
Arthrocladium fulminans
Carduelis corsicana
Eurybia lycisca
Lysobacter hankyongensis
Anaplasma marginale str. Florida
Drosophila meridiana
Concholepas concholepas
Cyanocitta stelleri
Puccinia brachypodii
Wolbachia endosymbiont of Drosophila bocki
Runella salmonicolor
Nakamurella leprariae
Hypotrachyna appalachensis
Gyromitra melaleuca
Nasalis larvatus
Autographa bractea
Oryx dammah
Bowmanella dokdonensis
Pholiota conissans
Typhlomys cinereus
Poropuntius huangchuchieni
Hydrogenophilus thermoluteolus
Coprothermobacter proteolyticus DSM 5265
Tachypodoiulus niger
Diphyllodes magnificus
Metabacillus niabensis
Planococcus wigleyi
Phalloceros titthos
Ardeotis kori
Deinococcus phoenicis
Enterobacter roggenkampii
Ataeniobius toweri
Lytechinus pictus
Scheffersomyces parashehatae
Leishmania shawi
Psilocybe subaeruginosa
Ancylobacter polymorphus
Wolbachia endosymbiont (group B) of Aporia crataegi
Borreliella yangtzensis
Caloenas nicobarica
Kibdelosporangium aridum
Xylanimonas cellulosilytica DSM 15894
Sipunculus nudus
Microcera coccophila
Cucurbita ficifolia
Methylobacterium indicum
Henosepilachna vigintioctopunctata
Aricia nicias
Paroceanicella profunda
Macaranga winkleri
Streptomyces bacillaris
Glossina morsitans morsitans
Microlunatus antarcticus
Isoptericola jiangsuensis
Celeribacter indicus
Eupeodes luniger
Atta cephalotes
Aliivibrio logei
Tigheibacillus jepli
Magnetofaba australis IT-1
Penicillium robsamsonii
Coilia grayii
Chrysochromulina parva
Fusarium lactis
Coprobacillus cateniformis
Cognatilysobacter bugurensis
Hydrogeniiclostridium mannosilyticum
Pelobium manganitolerans
Actinomadura meyerae
Legionella sainthelensi
Pectobacterium brasiliense
Xanthobacter aminoxidans
Pantoea osteomyelitidis
Haplosyllis eldagainoae
Ralstonia mannitolilytica
Mycena leptocephala
Streptomyces roseolus
Copaeodes aurantiaca
Haloferula luteola
Petrochromis polyodon
Catenovulum adriaticum
Geotrichum phurueaensis
Salix koriyanagi
Plicaturopsis crispa FD-325 SS-3
Flavobacterium swingsii
Gyrodon tennesseensis
Mycolicibacter virginiensis
Ochropacha duplaris
Leeuwenhoekiella nanhaiensis
Sylvilagus bachmani
Flavobacterium suaedae
Fructobacillus papyrifericola
Cylindricascospora bacillispora
Inmirania thermothiophila
Grimontia marina
Porphyromonas miyakawae
Sarotherodon caroli
Vitis labrusca
Sphaerotilus natans
Thunnus thynnus
Flavobacterium daemonense
Alloteropsis semialata
Halobacterium noricense
Chrysopilus asiliformis
Cyberlindnera rhodanensis
Xiphophorus cortezi
Bartonella machadoae
Vibrio fluvialis
Aquimarina agarilytica ZC1
Coprobacter fastidiosus
Potamilus streckersoni
Finegoldia dalianensis
Streptomyces profundus
Erythrobacter colymbi
Melinaea marsaeus rileyi
[Candida] conglobata
Pseudomonas bijieensis
Microhierax latifrons
Pseudomonas songnenensis
Microbacterium allomyrinae
Rhodopseudomonas pseudopalustris
Aureobasidium mangrovei
Ignatzschineria ureiclastica
Marinicella rhabdoformis
Microvirga lenta
Eumeta japonica
Mycolicibacterium sphagni
Bacillus rubiinfantis
Condylura cristata
Neotamlana laminarinivorans
Caldicoprobacter faecalis
Saccharomyces kudriavzevii IFO 1802
Helicobacter mehlei
Coccus hesperidum
Mycolicibacillus trivialis
Phytophthora cajani
Salibaculum griseiflavum
Moorella stamsii
Stenopsyche tienmushanensis
Corynebacterium doosanense CAU 212 = DSM 45436
Methanobrevibacter olleyae
Mediterraneibacter catenae
Heyndrickxia shackletonii
Naganishia vishniacii ANT03-052
Pheucticus melanocephalus
Collibacillus ludicampi
Phalloceros megapolos
Caldicellulosiruptor owensensis OL
Deinococcus proteolyticus MRP
Metschnikowia lopburiensis
Paracoccus binzhouensis
Wolbachia endosymbiont (group A) of Volucella inflata
Primulina huaijiensis
Aspergillus puulaauensis
Eremophila alpestris peregrina
Neopestalotiopsis clavispora
Hymenobacter cavernae
Paenibacillus beijingensis
Prosthecobacter dejongeii
Sclerotinia sativa
Malus sylvestris
Faecalicatena acetigenes
Anabaena sphaerica FACHB-251
Brettanomyces custersianus
Faecalicatena orotica
Litoreibacter meonggei
Poecilia wingei
Saccharomyces cerevisiae S288C
Coilia nasus
Natronorubrum sulfidifaciens JCM 14089
Tyrannus albogularis
Pseudoips prasinana
Nonomuraea ferruginea
Aspergillus thermomutatus
Serinus canicollis
[Clostridium] symbiosum
Dyadobacter endophyticus
Marimonas lutisalis
Corynebacterium kalinowskii
Scolopax mira
Tragelaphus strepsiceros
Tilletiaria anomala UBC 951
Tateyamaria armeniaca
Roseofilum casamattae BLCC-M143
Faunimonas pinastri
Dendronotus venustus
Mycobacterium paraterrae
Sicus ferrugineus
Cacatua alba
Autumnicola tepida
Falsigemmobacter intermedius
Musotima nitidalis
Tragulus javanicus
Streptococcus penaeicida
Neoactinobaculum massilliense
Agrochola circellaris
Solanum tuberosum
Oceanobacillus polygoni
Jutongia hominis
Vibrio mimicus
Sphingomonas panaciterrae
Albidovulum salinarum
Parsonsia alboflavescens
Streptomyces mobaraensis
Tuber umbilicatum
Nitrosophilus labii
Wolbachia endosymbiont of Zaprionus tsacasi
Lotus japonicus
Tricholomella constricta
Bassia scoparia
Oryza meridionalis
Rhinolophus yonghoiseni
Halolamina salifodinae
Lindbergichthys nudifrons
Litoreibacter albidus
Sphingobium arseniciresistens
Aliidiomarina soli
Rubricella aquisinus
Pseudotabrizicola sediminis
Cyanocitta cristata
Takifugu ocellatus
Candidatus Pelagibacter ubique HTCC1062
Chryseobacterium formosus
Entomyzon cyanotis
Fusarium redolens
Rickettsiella grylli
Colletotrichum incanum
Otus longicornis
Streptobacillus canis
Geobacter soli
Legionella waltersii
Oenanthe javanica
Peteryoungia desertarenae
Calephelis virginiensis
Mogibacterium neglectum
Herminiimonas arsenitoxidans
Ensete ventricosum
Macaria brunneata
Novisyntrophococcus fermenticellae
